avarice           ['ævəris]             n. 贪财,贪婪
avaricious        [ævə'riʃəs]           a. 贪财的,贪婪的
aviator           ['eivieitə]           n. 飞行员,飞行家
avid              ['ævid]               a. 热望的,急切的,贪婪的
avow              [ə'vəu]               vt. 声明,承认,招认
backlighting      ['bæklaitiŋ]          n. 逆光
balk              [bɔ:k]                n. 障碍,错误,失败 vt. 阻止,突然停止,退缩 vi. 逡巡不前
balmy             ['ba:mi]              a. 芳香的,温和的,止痛的
bandit            ['bændit]             n. 强盗
banish            ['bæniʃ]              vt. 驱逐,消除
barricade         [bæri'keid]           n. 防卫工事,障碍 vt. 设路障于,阻碍
barter            ['ba:tə]              n. 物物交换,实物交易 vt. vi. 物物交换,交换
bashful           ['bæʃful]             a. 害羞的
bask              [bæ:sk]               vi. 晒太阳,舒适
baste             [beist]               vt. 假缝,润以油脂,涂以奶油,狠揍
befuddle          [bi'fʌdl]             vt. 使昏迷,使迷惑,使迷糊
beget             [bi'get]              vt. 招致,产生,引起
begrudge          [bi'grʌdʒ]            vt. 嫉妒,羡慕,舍不得给,吝惜
beguile           [bi'gail]             vt. 诱骗
belie             [bi'lai]              vt. 掩饰,与……不符,使失望
belittle          [bi'litl]             vt. 轻视,使渺小
belligerent       [bi'lidʒərənt]        a. 好战的,交战的,交战国的
benefactor        ['beni'fæktə]         n. 恩人,捐助者,赠送者
bent              [bent]                a. 弯曲的,不诚实的 n. 爱好
bequest           [bi'kwest]            n. 遗赠物,遗产,遗赠
berate            [bi'reit]             vt. 严责
bereave           [bə'riv]              vt. 剥夺,使失去
bestow            [bi'stəu]             vt. 授予,适用,留宿,放置,使用
bicker            ['bikə]               vi. 斗嘴,潺潺而流,闪动 n. 口角,流水声
bidding           ['bidiŋ]              n. 命令,邀请,出价
bigoted           ['bigətid]            a. 固执己见的,执迷的,顽固的
bland             [blænd]               a. 温和的,乏味的,冷漠的
blemish           ['blemiʃ]             n. 污点,缺点 vt. 弄脏,玷污,损害
blip              [blip]                n. 雷达上显示的点
bliss             [blis]                n. 福佑,天赐的福
bog               [bɔg]                 n. 沼泽
bombastic         [bɔm'bæstik]          a. 夸大的,夸夸其谈的
bonanza           [bou'nænzə]           n. 富矿带,带来好运的事物,幸运
boon              [bu:n]                n. 恩惠
boredom           ['bɔ:dəm]             n. 厌烦,厌倦,令人厌烦的事物
boulder           ['bəuldə(r)]          n. 大石头
brawl             [brɔ:l]               n. 争吵vi. 争吵,哗哗地流水
brim              [brim]                n. 边,边缘,(河)边 vt. 注满,使满溢 vi. 满溢
brittle           ['britl]              a. 易碎的,脆弱的,易坏的
budge             [bʌdʒ]                vi. 移动,微微一动 vt. 推动 n. 羔皮
burgeon           ['bə:dʒən]            vi. 迅速成长，发展
burnish           ['bə:niʃ]             vt. 磨,打磨,磨光 vi. 磨光发亮 n. 光辉,光泽
burrow            ['bʌrəu]              vi. 挖地洞 n. 洞穴
byword            ['baiwə:d]            n. 谚语,格言,笑柄
calamity          [kə'læmiti]           n. 灾难,不幸事件
calculus          ['kælkjuləs]          n. 微积分学; 结石
caliber           ['kæləbə]             n. 口径,才干,器量
camouflage        ['kæməflɑ:ʒ]          n. v. 掩饰，伪装
cannibalism       ['kænibəlizəm]        n. 嗜食同类
canny             ['kæni]               a. 精明的,谨慎的
canopy            ['kænəpi]             n. 天篷，遮篷
capacious         [kə'peiʃəs]           a. 容积大的,广阔的,宽敞的
captivate         ['kæpti'veit]         vt. 迷住,迷惑
captivity         [kæp'tiviti]          n. 囚禁,被关
cardiac           ['kɑ:diæk]            a. 心脏的，心脏病的
caribou           ['kæribu:]            n. 北美产驯鹿
carnage           ['ka:nidʒ]            n. 大屠杀,残杀
carnal            ['karnəl]             a. 肉体的,肉欲的
carnivore         ['kɑ:nivɔ:]           n. 肉食动物
cartilage         ['kɑ:tilidʒ]          n. 软骨
cascade           [kæs'keid]            n. 小瀑布
cassette          [kə'set]              n. 盒式录音(或录像)带
castigate         ['kæstigeit]          vt. 惩罚,苛评,修订
cataclysm         ['kætə'klizəm]        n. 大洪水,地震,(社会政治的)大变动
catching          ['kætʃiŋ]             a. 易传染的,有魅力的,迷人的
